dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_accum_discharg_power_quan,b_charg_lamp_sts_1,b_slow_charg_con_sts,b_fast_charg_con_sts,v_car_speed,v_accel_pedal_depth,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type,weather_station_ID,temperature,wind_speed,humidity,rainfall,snowfall,traffic_volume,air_co,air_no2,air_o3,air_pm10,air_pm25,air_so2
M1200607495,2022-01-28 14:13:31.000,66.5,-5.3,690.1,441.5,False,False,False,17.36,17.58,,1561.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:13:41.000,66.5,6.6,691.4,441.6,False,False,False,7.808,8.796,,1561.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:13:51.000,66.5,7.0,690.9,441.6,False,False,False,29.92,5.618,,1561.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:14:01.000,66.5,-26.0,692.4,441.6,False,False,False,9.888,2.152,,1561.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:14:11.000,66.5,10.3,690.9,441.6,False,False,False,10.016,10.11,,1561.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:14:21.000,66.5,-10.0,689.9,441.6,False,False,False,37.664,11.924,,1561.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:14:31.000,66.5,-26.1,692.3,441.6,False,False,False,31.312,0.0,,1561.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:14:41.000,66.5,-4.2,689.1,441.7,False,False,False,37.616,25.05,,1561.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:14:51.000,66.5,-35.4,693.6,441.7,False,False,False,28.48,0.0,,1561.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:15:01.000,66.5,34.9,687.4,441.7,False,False,False,29.168,24.224,,1562.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:15:11.000,66.5,-13.9,693.8,441.7,False,False,False,27.088,0.0,,1562.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:15:21.000,66.5,9.6,691.3,441.7,False,False,False,14.416,9.772,,1562.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
